x,y
2.9255,1.7041
2.894371875,1.738890625
2.86414096679687,1.77394826660156
2.83480233154297,1.80925817298889
2.80635086054802,1.84480575531721
2.75121170793474,1.91634742618427
2.7245240263164,1.952341514723
2.69871296981573,1.98854443353116
2.67377310798168,2.02494192578196
2.64969885344505,2.06151990369558
2.62562459890842,2.0980978816092
2.60241595166922,2.13485634518564
2.58006732435822,2.17178120664507
2.55857297268808,2.20885854725465
2.53792699941546,2.24607462036647
2.51728102614284,2.28329069347829
2.49748343126774,2.32064549909234
2.47852831754684,2.35812529056072
2.46040963478088,2.39571649332046
2.44312118377686,2.43340570793152
2.42583273277283,2.47109492254257
2.40937451353073,2.50888214900494
2.39374032685757,2.54675398787856
2.3789238245666,2.58469721484631
2.3649185134396,2.62269878375195
2.35091320231259,2.66070035265759
2.33771908234954,2.69876026350111
2.3253296603322,2.73686547012627
2.31373829801083,2.77500310453773
2.30293821606636,2.81316047993898
2.29213813412189,2.85131785534024
2.28212933255434,2.88949497173131
2.27290503204465,2.92767914231569
2.26445831220448,2.96585786149576
2.25678211553842,3.00401880791076
2.24910591887236,3.04217975432575
2.2422002453804,3.08032292797566
2.23605803756714,3.1184360074997
2.23067210083008,3.15650685577393
2.22603510742187,3.19452352294922
2.22139811401367,3.23254019012451
2.21751006393433,3.27050267620087
2.21436362943649,3.30839903132915
2.21195134962797,3.34621749293506
2.21026563443392,3.38394648875706
2.20857991923988,3.42167548457906
2.20762076866031,3.45931501461714
2.20738059262037,3.4968535066098
2.2078516718626,3.53427957860827
2.2090261619091,3.5715820420146
2.2102006519556,3.60888450542092
2.21207855280638,3.64606336023509
2.21465201998353,3.68310741785914
2.21791308378875,3.72000568304583
2.22185365326554,3.75674735693671
2.22579422274232,3.79348903082758
2.23041429789066,3.83007411342263
2.23570578775406,3.86649180586338
2.2416604801178,3.90273150568008
2.24827004547119,3.93878280982971
2.25487961082458,3.97483411397934
2.26214404916763,4.01069702246189
2.27005503098965,4.04636113223433
2.27860410948396,4.08181623968035
2.28778272451013,4.1170523436483
2.29696133953631,4.15228844761625
2.30676949109435,4.18730554810613
2.31719861904383,4.22209364396632
2.32824004991055,4.25664293650985
2.33988500084877,4.29094383255243
2.35152995178699,4.32524472859502
2.36377842279673,4.35929722813666
2.37662163103223,4.39309173799306
2.39005068427622,4.42661887048259
2.40405658490211,4.45986944646425
2.41806248552799,4.49312002244592
2.43264523353577,4.52609404191971
2.44779583129883,4.55878232574463
2.46350517578125,4.59117590332031
2.4797640625,4.623266015625
2.49602294921875,4.65535612792969
2.51283137817383,4.68714277496338
2.5301801448822,4.71861719770431
2.54805994341373,4.74977084870934
2.5664613703534,4.7805953951519
2.58486279729307,4.81141994159445
2.60378585264087,4.84191538347453
2.62322113298178,4.87207338796556
2.64315913741589,4.90188583685756
2.66359027152061,4.93134482959509
2.68402140562534,4.96080382233262
2.70494566940069,4.98990935891569
2.72635346842408,5.01865353878885
2.74823511475027,5.04702867905125
2.77058083087355,5.07502731749453
2.79292654699683,5.1030259559378
2.81573633291721,5.13064809256196
2.839000411129,5.15788626515865
2.86270891456604,5.18473323221207
2.88685189056396,5.21118197593689
2.91099486656189,5.23763071966171
2.9355723151207,5.26368124005795
2.96057428357601,5.28932651934028
2.98599073366523,5.3145597634539
3.01181154548973,5.33937440511249
3.03763235731423,5.36418904677108
3.06385753087401,5.38858508597463
3.09047694627047,5.41255595543683
3.11748040196896,5.43609531463981
3.14485761876106,5.45919705287218
